title,year,venue,paper_id,doi,publication_date,oa_pdf_url,abstract,reference,datasets_info,index_paper,Datasets_info
Abstract A004: Tertiary lymphoid structures drive early response to combined anti-angiogenic and immune checkpoint therapy in recurrent ovarian cancer: A biomarker discovery study,2025,Cancer Research,d49a22468024b6946cc310307a1c24f1361be9d5,10.1158/1538-7445.ovarian25-a004,2025-09-19,,"
 
 
 High-grade serous ovarian cancer (HGSOC) is the deadliest gynecological malignancy, with limited treatment options once platinum resistance occurs. Preclinical studies suggest that VEGF and PGE2 blockade can enhance T-cell infiltration by disrupting the tumor endothelial barrier, potentially synergizing with PD-L1 blockade. The EORTC-1508GCG phase II trial evaluated atezolizumab (anti–PD-L1), bevacizumab (anti–VEGF), and low-dose aspirin in platinum-resistant ovarian cancer (PROC). While the trial did not meet its primary endpoint, translational analyses revealed a subgroup with high tumor-infiltrating lymphocytes (TILs) who derived clinical benefit, prompting further investigation into immune correlates of response.
 
 
 
 We analyzed longitudinal tumor and blood samples from patients treated on the EORTC-1508GCG trial using immunohistochemistry (IHC), multiplex immunofluorescence (mIF), TCR sequencing, and spatial transcriptomics (Visium CytAssist, 10x Genomics). Paired biopsies were collected at baseline and before cycle 3. Response was evaluated by RECIST v1.1 at 6 months. In total, 116 tumors were analyzed by mIF, 54 by spatial transcriptomics, and 26 blood samples by TCRseq.
 
 
 
 Although progression-free survival at 6 months was insufficient across treatment arms, the combination of atezolizumab and bevacizumab showed numerical improvement and prolonged time to first subsequent therapy (TFST). mIF revealed increased CD8+ TILs in atezolizumab-containing arms post-treatment, and higher baseline TILs were associated with prolonged TFST. Responders (Rs) exhibited elevated CD8+ TILs, CD11c+ myeloid cells, and CD19+ B cells, alongside enriched tertiary lymphoid structures (TLS), which were sustained during treatment. Spatial analysis highlighted active immune cell crosstalk and MECA+ high endothelial venules in Rs, suggesting TLS-mediated TIL recruitment and activation. In contrast, non-responders (NRs) had higher CD105+ microvessel density, indicative of an immunosuppressive tumor microenvironment. TCR sequencing showed greater TCR richness and lower clonality in Rs.
 
 
 
 This is the first randomized trial to explore the combination of PD-L1 and VEGF blockade with aspirin in PROC. While not meeting efficacy endpoints, translational analyses revealed that a subgroup of patients with pre-existing immune activation and TLS enrichment may benefit from therapy. Ongoing spatial transcriptomic profiling aims to identify molecular programs driving TIL activation, TLS formation, and resistance. These findings support the development of tissue-based biomarkers to better stratify patients and guide future immunotherapy strategies in PROC.
 
 
 
 Eleonora Ghisoni, Nicolas Rayroux, Denarda Dangaj Laniti. Tertiary lymphoid structures drive early response to combined anti-angiogenic and immune checkpoint therapy in recurrent ovarian cancer: A biomarker discovery study [abstract]. In: Proceedings of the AACR Special Conference in Cancer Research: Advances in Ovarian Cancer Research; 2025 Sep 19-21; Denver, CO. Philadelphia (PA): AACR; Cancer Res 2025;85(18_Suppl):Abstract nr A004.
",[],,0,
A practical guide to spatial transcriptomics: lessons from over 1000 samples.,2025,Trends in Biotechnology,7f00cb204c6ddd1187957f0822e6cc911c7aae7e,10.1016/j.tibtech.2025.08.020,2025-09-19,,,[],,1,
Abstract A003: Mapping the tumor microenvironment: Spatial Transcriptomic insights into ovarian cancer progression and resistance,2025,Cancer Research,4cf6f443298e3305bcbf89470d2e118a90600ac1,10.1158/1538-7445.ovarian25-a003,2025-09-19,,"
 
 
 High-grade serous ovarian cancer (HGSOC) remains the most lethal gynecologic malignancy, with a 5-year survival rate below 50%. Despite initial responsiveness to platinum-based chemotherapy and the implementation of targeted therapies such as PARP inhibitors, the majority of patients relapse and develop treatment-resistant disease. Emerging evidence suggests that the spatial organization and dynamic interactions among tumor, immune, and stromal cells within the tumor microenvironment (TME) play a critical role in therapeutic response and disease progression. However, traditional transcriptomic approaches lack the spatial context necessary to fully understand these interactions. The Xenium spatial transcriptomics (ST) platform represents an innovative technology that enables high-resolution, in situ mapping of gene expression within intact tissue architecture. By preserving the spatial relationships between cell types and molecular states, ST provides the opportunity to explore how the TME evolves under therapeutic pressure and contributes to resistance. We performed spatial transcriptomic profiling on FFPE tumor sections from three matched longitudinal pairs of HGSOC samples obtained prior to treatment and upon PARPi progression. Utilizing the Xenium 5K Plex platform from 10X Genomics, we quantified the expression of 5000 genes in over 2.5 million cells. Cell type annotation was performed via reference mapping and marker gene expression. Differential expression and gene ontology enrichment analyses were conducted to identify key transcriptional changes in tumor clusters between paired naïve and progression samples. We furthermore describe spatial cellular neighborhoods and their changes upon development of resistance. Characterization of the tumors reveals great morphological heterogeneity between patients. Comparative analysis revealed distinct shifts in the cancer cell abundance, cancer cell area and spatial arrangement of the TME between naïve and progression samples. Progression samples exhibited increased expression of, for example, hypoxia-related genes, particularly in cancer cells. Spatial mapping identified distinct cellular neighborhoods, including niches with a high density of neutrophil- or macrophage-associated transcripts, which were notably more abundant in progression samples, suggesting a role in immune evasion and tumor progression. This study demonstrates the potential of spatial transcriptomics to elucidate the architectural and transcriptional changes of the ovarian cancer microenvironment at the single-cell level. While based on early findings, our results suggest the relevance of hypoxia, stromal remodeling, and niches with distinct cellular compositions in contributing to disease progression. These data support further investigation into spatially targeted therapeutic strategies and the use of ST as a tool for microenvironment-driven biomarker discovery.
 
 
 
 Sara K. Bystrup, Kathleen J. Imbach, Sergi Cervilla García, Arola Fortian Bernabeu, Daniella Grases, Eduard Porta Pardo, Jordi Barretina, Lorena Valdivieso Almeida, Pau Guillén Sentís, Adrià Bernat Peguera. Mapping the tumor microenvironment: Spatial Transcriptomic insights into ovarian cancer progression and resistance [abstract]. In: Proceedings of the AACR Special Conference in Cancer Research: Advances in Ovarian Cancer Research; 2025 Sep 19-21; Denver, CO. Philadelphia (PA): AACR; Cancer Res 2025;85(18_Suppl):Abstract nr A003.
",[],,2,
Abstract B040: Applying histopathology foundation model-enhanced neural networks to ovarian tumor whole slide images and tissue microarray for survival prediction and tumor microenvironment subtyping,2025,Cancer Research,2649411541b54bd6d70dbb52221fccaba60b6495,10.1158/1538-7445.ovarian25-b040,2025-09-19,,"
 
 
 Artificial intelligence-based histopathology image analysis using whole slide images (WSIs) has rapidly expanded in recent years with wide implications and opportunities for predicting clinical outcomes. Here we applied foundation model-based features to hematoxylin and eosin (H&E)-stained ovarian tumor WSIs and tumor microarrays (TMAs) and trained neural networks (NN) to predict survival and classify RNA-based tumor microenvironment (TME) subtype.
 
 
 
 We developed survival models for epithelial ovarian cancers using NNs enhanced with foundation model features from H&E-stained TMA and WSI across four cohorts (n=1,453). Tile-level features were extracted at 20x with foundation models: CHIEF, GIGAPATH, VIRCHOW, and input into a Weibull-based deep survival model (PyTorch). Models were trained separately on the TCGA (WSI) and the New England Case Control Study (NECC, TMA) using k-fold cross-validation with age-stratified sampling. Performance was assessed using held-out validation sets from TCGA and NECC, and externally on two independent datasets. TME subtypes were defined by bulk RNA-seq data based on cancer-associated fibroblasts (CAF), T cells, and endothelial cells. Unsupervised k-means clustering (k=4) with Euclidean distance over 1000 bootstrapped iterations was performed, and each cluster was annotated by the median expression scores of the selected marker sets and as one of the following subtypes:1) Immune-Enriched, 2) Immune-Enriched + Fibrotic, 3) Fibrotic, or 4) Depleted. We applied the classification NN for slide-level (multilayer perceptron) and core-level classification (Attention-Based Deep Multiple Instance Learning; ABMIL) to train models on TMA-derived H&E tiles and classify samples into the four transcriptomic-defined subtypes.
 
 
 
 Survival models trained on TMAs and WSIs achieved comparable performance across validation cohorts with strong prediction performance (c-index=0.76-0.96). In both NECC and TCGA, Immune-Enriched + Fibrotic and Depleted clusters were most distinct, marked by high and low expression of CAF, T cell, and endothelial scores, respectively. In contrast, Immune-Enriched and Fibrotic clusters were more difficult to differentiate, particularly based on CAF and endothelial scores, though T cell scores were higher in Immune-Enriched relative to Fibrotic clusters. The TMA-trained NN models were unable to reliably distinguish between the four RNA-defined TME subtypes.
 
 
 
 Despite TMA’s reduced spatial context, survival prediction was comparable to WSIs with consistent performance in validation datasets, suggesting that TMA-derived features paired with foundation models can capture biologically important signals in epithelial ovarian tumors. RNA-seq-defined TME subtype classification using TMA-derived H&E features was limited, likely due to sample size, spatial resolution, and the heterogeneity of the ovarian cancer TME. Future direction will leverage attention-based models to generate spatial maps highlighting tissue regions predictive of molecular features and clinical outcomes.
 
 
 
 Tina Yi Jin Hsieh, Shih-Yen Lin, Allison F. Vitonis, Kathryn L. Terry, Kun-Hsing Yu, Naoko Sasamoto. Applying histopathology foundation model-enhanced neural networks to ovarian tumor whole slide images and tissue microarray for survival prediction and tumor microenvironment subtyping [abstract]. In: Proceedings of the AACR Special Conference in Cancer Research: Advances in Ovarian Cancer Research; 2025 Sep 19-21; Denver, CO. Philadelphia (PA): AACR; Cancer Res 2025;85(18_Suppl):Abstract nr B040.
",[],,3,
Cancer-associated fibroblasts drive lung adenocarcinoma progression via THBS2-mediated epithelial-mesenchymal transition.,2025,Oncogene,13c0faec4d04ddee86bb924ee79c08f0dc4ced64,10.1038/s41388-025-03569-9,2025-09-19,,,[],,4,"[{""data link"": ""https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189487"", ""repository"": ""GEO"", ""accession"": ""GSE189487"", ""platform"": ""10x Genomics Visium (spot-based spatial transcriptomics)"", ""species"": ""Human"", ""tissue"": ""Lung adenocarcinoma (AIS, MIA, IAC)"", ""raw_data_available"": true, ""available"": true, ""original_data"": false, ""description"": ""Reused spatial transcriptomics dataset of human LUAD across AIS, MIA, and IAC using 10x Genomics Visium (spot-based resolution).""}, {""data link"": ""https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189357"", ""repository"": ""GEO"", ""accession"": ""GSE189357"", ""platform"": ""Single-cell RNA-seq (non-spatial)"", ""species"": ""Human"", ""tissue"": ""Lung adenocarcinoma (AIS, MIA, IAC)"", ""raw_data_available"": true, ""available"": true, ""original_data"": false, ""description"": ""Reused non-spatial single-cell RNA-seq dataset profiling LUAD across AIS, MIA, and IAC; used to characterize cell populations and interactions.""}, {""data link"": ""https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164789"", ""repository"": ""GEO"", ""accession"": ""GSE164789"", ""platform"": ""Single-cell RNA-seq (non-spatial)"", ""species"": ""Human"", ""tissue"": ""Lung adenocarcinoma (AIS, MIA, IAC)"", ""raw_data_available"": true, ""available"": true, ""original_data"": false, ""description"": ""Reused non-spatial single-cell RNA-seq dataset of LUAD spanning AIS to IAC; integrated to build single-cell atlases and CAF subtypes.""}, {""data link"": ""https://portal.gdc.cancer.gov/projects/TCGA-LUAD"", ""repository"": ""GDC"", ""accession"": ""TCGA-LUAD"", ""platform"": ""Bulk RNA-seq"", ""species"": ""Human"", ""tissue"": ""Lung adenocarcinoma (bulk tumors)"", ""raw_data_available"": true, ""available"": true, ""original_data"": false, ""description"": ""Reused public bulk RNA-seq cohort of LUAD with clinical annotations; non-spatial transcriptomics used for survival and stromal association analyses.""}, {""data link"": ""https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE14814"", ""repository"": ""GEO"", ""accession"": ""GSE14814"", ""platform"": ""Bulk transcriptome (microarray)"", ""species"": ""Human"", ""tissue"": ""Lung adenocarcinoma/NSCLC (bulk tumors)"", ""raw_data_available"": true, ""available"": true, ""original_data"": false, ""description"": ""Reused non-spatial bulk transcriptome microarray dataset with clinical data; used for prognostic analyses.""}, {""data link"": ""https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE50081"", ""repository"": ""GEO"", ""accession"": ""GSE50081"", ""platform"": ""Bulk transcriptome (microarray)"", ""species"": ""Human"", ""tissue"": ""Lung adenocarcinoma/NSCLC (bulk tumors)"", ""raw_data_available"": true, ""available"": true, ""original_data"": false, ""description"": ""Reused non-spatial bulk transcriptome microarray dataset with clinical information; used for survival analyses.""}, {""data link"": ""https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72094"", ""repository"": ""GEO"", ""accession"": ""GSE72094"", ""platform"": ""Bulk transcriptome"", ""species"": ""Human"", ""tissue"": ""Lung adenocarcinoma (bulk tumors)"", ""raw_data_available"": true, ""available"": true, ""original_data"": false, ""description"": ""Reused non-spatial bulk transcriptome dataset of LUAD with clinical data; used for prognostic assessment.""}, {""data link"": ""https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31210"", ""repository"": ""GEO"", ""accession"": ""GSE31210"", ""platform"": ""Bulk transcriptome (microarray)"", ""species"": ""Human"", ""tissue"": ""Lung adenocarcinoma (bulk tumors)"", ""raw_data_available"": true, ""available"": true, ""original_data"": false, ""description"": ""Reused non-spatial bulk microarray dataset focused on LUAD with clinical annotations; used for survival analyses.""}, {""data link"": ""https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE3141"", ""repository"": ""GEO"", ""accession"": ""GSE3141"", ""platform"": ""Bulk transcriptome (microarray)"", ""species"": ""Human"", ""tissue"": ""Lung adenocarcinoma/NSCLC (bulk tumors)"", ""raw_data_available"": true, ""available"": true, ""original_data"": false, ""description"": ""Reused non-spatial bulk microarray dataset of NSCLC (including LUAD); used in prognostic meta-analyses.""}, {""data link"": ""https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE26939"", ""repository"": ""GEO"", ""accession"": ""GSE26939"", ""platform"": ""Bulk transcriptome (microarray)"", ""species"": ""Human"", ""tissue"": ""Lung adenocarcinoma/NSCLC (bulk tumors)"", ""raw_data_available"": true, ""available"": true, ""original_data"": false, ""description"": ""Reused non-spatial bulk microarray dataset with clinical data; used for survival-related analyses.""}, {""data link"": ""https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30219"", ""repository"": ""GEO"", ""accession"": ""GSE30219"", ""platform"": ""Bulk transcriptome (microarray)"", ""species"": ""Human"", ""tissue"": ""Lung adenocarcinoma/NSCLC (bulk tumors)"", ""raw_data_available"": true, ""available"": true, ""original_data"": false, ""description"": ""Reused non-spatial bulk microarray dataset with clinical annotations; used for prognosis analyses.""}, {""data link"": ""https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE20913"", ""repository"": ""GEO"", ""accession"": ""GSE20913"", ""platform"": ""Bulk transcriptome (microarray)"", ""species"": ""Human"", ""tissue"": ""Lung adenocarcinoma/NSCLC (bulk tumors)"", ""raw_data_available"": true, ""available"": true, ""original_data"": false, ""description"": ""Reused non-spatial bulk microarray dataset; used for validation of prognostic signals.""}, {""data link"": ""https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE166720"", ""repository"": ""GEO"", ""accession"": ""GSE166720"", ""platform"": ""Bulk RNA-seq"", ""species"": ""Human"", ""tissue"": ""Lung adenocarcinoma (AIS, MIA, IAC; bulk tumors)"", ""raw_data_available"": true, ""available"": true, ""original_data"": false, ""description"": ""Reused non-spatial bulk RNA-seq dataset used to assess fibroblast infiltration across AIS, MIA, and IAC stages.""}, {""data link"": ""Not available"", ""repository"": ""Not available"", ""accession"": ""Not available"", ""platform"": ""Bulk RNA-seq"", ""species"": ""Mouse"", ""tissue"": ""LLC (Lewis lung carcinoma) cell line"", ""raw_data_available"": false, ""available"": false, ""original_data"": true, ""description"": ""In-house non-spatial bulk RNA-seq of LLC cells treated with recombinant THBS2 versus control to assess transcriptional changes (e.g., EMT activation); no public accession provided.""}]"
Mouse-Specific Single cell cytokine activity prediction and Estimation (MouSSE).,2025,PLoS Computational Biology,0d3941790d9380f36a851362e4ab7e9d644104dd,10.1371/journal.pcbi.1013475,2025-09-19,,,[],,5,
Spatial transcriptomics of intraductal carcinoma of the prostate.,2025,Histopathology,9673ebf76c2e0eb9d6b742f4f649f0982e5e6c82,10.1111/his.15551,2025-09-18,,,[],,6,
Anatomic Predilection of IDH-Mutant Gliomas: A Multi-Institutional Spatial Analysis,2025,medRxiv,3eb894538844ac916ecd4f91bf9b3d65f8e183cf,10.1101/2025.09.16.25333605,2025-09-18,,,[],,7,"[{""data link"": ""Not available"", ""repository"": ""Not available"", ""accession"": ""Not available"", ""platform"": ""MRI (pre-treatment brain MRI; manual tumor segmentation)"", ""species"": ""Human"", ""tissue"": ""Brain (glioma)"", ""raw_data_available"": false, ""available"": false, ""original_data"": true, ""description"": ""Retrospective NYU Langone Health cohort of adult diffuse gliomas (204 IDH-mutant, 200 IDH-wildtype). Pre-operative MRI volumes were manually segmented, registered to MNI space, and mapped to AAL3 for spatial analysis. Imaging dataset was generated in this study and is not publicly available.""}, {""data link"": ""Not available"", ""repository"": ""Not available"", ""accession"": ""Not available"", ""platform"": ""MRI (pre-operative brain MRI; manual tumor segmentation)"", ""species"": ""Human"", ""tissue"": ""Brain (glioma)"", ""raw_data_available"": false, ""available"": false, ""original_data"": true, ""description"": ""External validation cohort from University of Michigan Health including adult diffuse gliomas (139 IDH-mutant, 125 IDH-wildtype). MRI volumes were manually segmented and registered for spatial analysis. Imaging dataset was generated in this study and is not publicly available.""}, {""data link"": ""https://www.cancerimagingarchive.net/"", ""repository"": ""The Cancer Genome Atlas (TCGA)"", ""accession"": ""TCGA-GBM; TCGA-LGG"", ""platform"": ""MRI (brain MRI; existing tumor segmentations)"", ""species"": ""Human"", ""tissue"": ""Brain (glioma)"", ""raw_data_available"": true, ""available"": true, ""original_data"": false, ""description"": ""Public glioma MRI data from TCGA used as part of the external validation (51 IDH-mutant, 102 IDH-wildtype). Authors reused existing tumor segmentations and registered scans to MNI space for spatial analysis.""}, {""data link"": ""https://human.brain-map.org/static/download"", ""repository"": ""Allen Institute for Brain Science"", ""accession"": ""10.7946/SW282"", ""platform"": ""Allen Human Brain Atlas microarray (spatially sampled tissue-level transcriptomics)"", ""species"": ""Human"", ""tissue"": ""Adult brain (multiple cortical and subcortical regions)"", ""raw_data_available"": true, ""available"": true, ""original_data"": false, ""description"": ""Normalized microarray expression profiles from six neurotypical adult human brains used to compare frontal vs occipital and SFG vs IFG regions. Spatially sampled bulk microarray (tissue-level resolution); dataset was obtained from the Allen Human Brain Atlas and reused in this study.""}]"
"Brain Functional-Structural Gradient Coupling Reflects Development, Behavior and Genetic Influences",2025,medRxiv,377d977c7b456afd9b806d642bc46c324ab53681,10.1101/2025.09.16.25335918,2025-09-18,,,[],,8,"[{""data link"": ""https://nda.nih.gov/abcd"", ""repository"": ""NIMH Data Archive (NDA)"", ""accession"": ""ABCD Study (NDA)"", ""platform"": ""Multi-modal MRI (T1-weighted MRI, diffusion MRI, resting-state fMRI)"", ""species"": ""Human"", ""tissue"": ""Brain"", ""raw_data_available"": true, ""available"": true, ""original_data"": false, ""description"": ""Adolescent Brain Cognitive Development (ABCD) cohort neuroimaging and behavioral data used to construct structural and functional connectomes for 7,025 children; non-spatial MRI modalities (T1w, dMRI, rs-fMRI). Data reused from the ABCD consortium via the NDA.""}, {""data link"": ""https://db.humanconnectome.org"", ""repository"": ""Human Connectome Project"", ""accession"": ""HCP Young Adult (S1200 release)"", ""platform"": ""Multi-modal MRI (T1-weighted, T2-weighted, diffusion MRI, resting-state fMRI)"", ""species"": ""Human"", ""tissue"": ""Brain"", ""raw_data_available"": true, ""available"": true, ""original_data"": false, ""description"": ""HCP Young Adult cohort neuroimaging and behavioral data for 913 adults; non-spatial MRI modalities (T1w/T2w, dMRI, rs-fMRI) used to derive structural and functional gradients. Data reused from the HCP repository.""}, {""data link"": ""https://human.brain-map.org/"", ""repository"": ""Allen Institute for Brain Science"", ""accession"": ""DOI:10.1038/nature11405"", ""platform"": ""Bulk microarray transcriptomics (spatially mapped regional samples)"", ""species"": ""Human"", ""tissue"": ""Cerebral cortex (regional samples)"", ""raw_data_available"": true, ""available"": true, ""original_data"": false, ""description"": ""Allen Human Brain Atlas (AHBA) regional gene expression dataset used for imaging transcriptomics; spatially mapped bulk microarray expression across cortical regions (regional resolution; non-single-cell). Data reused from the Allen Brain Atlas.""}, {""data link"": ""https://portal.brain-map.org/atlases-and-data/rnaseq/human-mtg-2018"", ""repository"": ""Allen Cell Types Database (Allen Institute for Brain Science)"", ""accession"": ""Human MTG scRNA-seq (Hodge et al., 2019; DOI:10.1038/s41586-019-1506-7)"", ""platform"": ""Single-cell RNA-seq (non-spatial)"", ""species"": ""Human"", ""tissue"": ""Cerebral cortex (middle temporal gyrus)"", ""raw_data_available"": true, ""available"": true, ""original_data"": false, ""description"": ""Human cortical scRNA-seq reference used to derive cell-type\u2013specific gene sets (aggregated into ~20 brain cell types) for enrichment analyses; non-spatial single-cell transcriptomics. Data reused from the Allen Cell Types Database.""}]"
Systematic benchmarking of computational methods to identify spatially variable genes,2025,Genome Biology,22f81f296713100ec8164688d7bb7d98a5576510,10.1186/s13059-025-03731-2,2025-09-18,,"Background Spatially resolved transcriptomics offers unprecedented insight by enabling the profiling of gene expression within the intact spatial context of cells, effectively adding a new and essential dimension to data interpretation. To efficiently detect spatial structure of interest, an essential step in analyzing such data involves identifying spatially variable genes (SVGs). Despite researchers having developed several computational methods to accomplish this task, the lack of a comprehensive benchmark evaluating their performance remains a considerable gap in the field. Results Here, we systematically evaluate 14 methods using 96 spatial datasets and 6 metrics. We compare the methods regarding gene ranking and classification based on real spatial variation, statistical calibration, and computation scalability and investigate the impact of identified SVGs on downstream applications such as spatial domain detection. Finally, we explore the applicability of the methods to spatial ATAC-seq data to examine their effectiveness in identifying spatially variable peaks (SVPs). Overall, SPARK-X outperforms other benchmarked methods and Moran’s I achieves a competitive performance, representing a strong baseline for future method development. Moreover, our results reveal that most methods are poorly calibrated, and more specialized algorithms are needed to identify spatially variable peaks. Conclusions Our benchmarking provides a detailed comparison of SVG detection methods and serves as a reference for both users and method developers. Supplementary Information The online version contains supplementary material available at 10.1186/s13059-025-03731-2.","[{'paper_id': 'fcbea9ca7bcbe8283456e0913f15b35f4bfed8b9', 'doi': '10.21203/rs.3.rs-4181617/v1'}, {'paper_id': 'f0278e4159224afafa27697267b2f62245dc4cae', 'doi': '10.1038/s41588-024-01664-3'}, {'paper_id': '4845e9f3292db0e8fd7ea3d60a5914ef2280e50a', 'doi': '10.1186/s13059-023-03145-y'}, {'paper_id': 'ab0f9ebab25d53a9f4633de0045235b8f08ec548', 'doi': '10.1186/s13059-023-03045-1'}, {'paper_id': 'dfb56d7fc358f7d1900e1e90dd2b1da56c509c81', 'doi': '10.1101/2022.05.16.492124'}, {'paper_id': '7740e268273b187df4927d58bd2396516d89388e', 'doi': '10.1038/s41587-023-01772-1'}, {'paper_id': '6d0c930590c0c0327fe698a6e5667ee7800ed6f1', 'doi': '10.1101/2023.04.01.535228'}, {'paper_id': '4a73897d6556e39ef156992b8959aa4b9e592deb', 'doi': '10.1038/s41576-023-00586-w'}, {'paper_id': 'b35dace6a2a571adeedc44132a56b0d40b3c2804', 'doi': '10.1101/2022.12.10.519929'}, {'paper_id': 'c393cbee49d6791f7dbc4bdbba714407611546cf', 'doi': '10.1101/2023.03.10.532127'}, {'paper_id': '36a0049e275ef99a4f2b7ea0b09ab63def53125b', 'doi': '10.1038/s41467-023-36796-3'}, {'paper_id': '28f95aca6045692315ff80c2e9f0964ac8b7fdc1', 'doi': '10.1038/s41587-022-01603-9'}, {'paper_id': 'e9ff812d4ac6b6b7eaf82fa2c61aea8da0b652db', 'doi': '10.1038/s41467-023-40271-4'}, {'paper_id': 'acb9c3cf785a6b61f6eacab1bc69218862acc009', 'doi': '10.1038/s41586-022-05094-1'}, {'paper_id': 'e6bbf162df74bef3a74d3bf5d8585db53518c5b8', 'doi': '10.1038/s41592-021-01358-2'}, {'paper_id': '893fbe40b3cbde4fc48581e8cc8855e945cc655c', 'doi': '10.1038/s41467-022-34879-1'}, {'paper_id': '1d3223f68d6196c9fa9ec01f4a9d2299c7de1027', 'doi': '10.1038/s41587-021-01139-4'}, {'paper_id': 'd90e5875fb46b69aff259c1b6b8c6bd83f7dd06e', 'doi': '10.1038/s41592-021-01282-5'}, {'paper_id': '13d799bf2bcd52ff7021ca799be9aab84c44f714', 'doi': '10.1038/s41467-021-26614-z'}, {'paper_id': '5152c6254aed0bb3c5fca2c9cfaf1fb3d52971bb', 'doi': '10.1038/s41592-021-01264-7'}, {'paper_id': '85b6c6d0bfcd44a5114963255b9a9ba641054db7', 'doi': '10.1101/2021.10.27.466045'}, {'paper_id': '31decbf977c355ff908c8e5107fbba6fe904b932', 'doi': '10.1038/s41467-021-26271-2'}, {'paper_id': 'ce7802b798dabf8abad687f1b91391c146b16e0b', 'doi': '10.1038/s41587-021-01044-w'}, {'paper_id': '92a916a74ac7f6139a700e78d3e22fee3b2cf6a4', 'doi': '10.1186/s13059-021-02404-0'}, {'paper_id': '912c676847379784ab311a1f01df9497cdd8de11', 'doi': '10.1038/s41587-021-00935-2'}, {'paper_id': 'af7225a8c839669b0c3e1e4cd07f63ac09557627', 'doi': '10.1186/s12864-022-08601-w'}, {'paper_id': 'dc44a01391c4967eac04a565a36c07c09c6af867', 'doi': '10.1093/bioinformatics/btab164'}, {'paper_id': 'a5dcc6b0d51668115a3382468382e074d053801a', 'doi': '10.1016/j.cell.2022.04.003'}, {'paper_id': 'bff639f7b02be17dca93ee0d8515144fbd79944e', 'doi': '10.12688/f1000research.29032.2'}, {'paper_id': '4ffbc31165cb0aa67b9fec24d7012d31c9a9fc61', 'doi': '10.1101/2020.12.10.419549'}, {'paper_id': 'ce941ee347916bf15d0bc03db1af539c83ced0b3', 'doi': '10.1038/s41586-022-05060-x'}, {'paper_id': '89d53f6d5896b40287bbd4d9c2675debc0fe0b4d', 'doi': '10.1038/s41587-020-0739-1'}, {'paper_id': '4ae9a8158bb92bab66b3b0252f6d760f2f59dae4', 'doi': '10.1093/bioinformatics/btab455'}, {'paper_id': 'eba4d084b57516f22c5b31fa426859634c1f33d2', 'doi': '10.1093/bioinformatics/btab486'}, {'paper_id': '2f06354848bbdb52231bddc252c7a79ddba36125', 'doi': '10.1038/s41587-021-00830-w'}, {'paper_id': '86ad0695623e8964d06d97dd88b8958b566751de', 'doi': '10.1038/s41593-020-00787-0'}, {'paper_id': 'a6c405c30b562bf779108d3b229d7556fad508c5', 'doi': '10.1038/s41592-019-0701-7'}, {'paper_id': '46c7c73f86aef037a5a0ab770000c11da9e7b6e5', 'doi': '10.1038/s41592-019-0548-y'}, {'paper_id': '7045f05312b80bd7e995b5dad637938d626c3be2', 'doi': '10.1126/science.aaw1219'}, {'paper_id': 'be27d34776a627f1dcb05de245ffc53d0d55bda7', 'doi': '10.1038/s41467-022-33182-3'}, {'paper_id': 'c592384802c2a69304f9e21cb03039be80b7bfac', 'doi': '10.1101/482240'}, {'paper_id': 'a63b777e1910c3909883877ec443b7a1f123aa9e', 'doi': '10.1080/01621459.2018.1554485'}, {'paper_id': '8d280e0eb316928ff8c0fd46e817fd395ce6ae71', 'doi': '10.1126/science.aat5691'}, {'paper_id': 'f5f912c3f668c6202d32acc3d85c86cb18a25c21', 'doi': '10.1038/nmeth.4636'}, {'paper_id': '36eff562f65125511b5dfab68ce7f7a943c27478', 'doi': None}, {'paper_id': '2724bfeabb90eff9f7bb1efd2cb9497afe4cbf08', 'doi': '10.1126/science.aaf2403'}, {'paper_id': 'd7b42a977e9c09654b5a4e65538fb56bc9252927', 'doi': '10.1126/science.aaa6090'}, {'paper_id': '62b839dcb0eee3e8487a436bfb367a283283ea7d', 'doi': '10.1093/bioinformatics/btv153'}, {'paper_id': '9bc923b60f93ce314e6db6449ac877693168c952', 'doi': '10.1038/nmeth.2892'}, {'paper_id': '42abddd227d653a0375d7d037ddb885f6c07f66f', 'doi': '10.1186/gb-2008-9-9-r137'}, {'paper_id': '6c8042db93da15d5d8bc49a5be326672cadbf4df', 'doi': '10.1093/biomet/37.1-2.17'}]",,9,
